C_imb,tau,snowball_num,end_time,LIP_volume_end,t_max_used
0.1,0.1,0,10.009999999999831,0.0,10.0
0.10623886793066824,0.1,0,10.009999999999831,0.0,10.0
0.11286697059189969,0.1,0,10.009999999999831,0.0,10.0
0.11990859182447447,0.1,0,10.009999999999831,0.0,10.0
0.1273895305059275,0.1,0,10.009999999999831,0.0,10.0
0.13533719507169065,0.1,0,10.009999999999831,0.0,10.0
0.14378070393328427,0.1,0,10.009999999999831,0.0,10.0
0.15275099216146698,0.1,0,10.009999999999831,0.0,10.0
0.1622809248252063,0.1,0,10.009999999999831,0.0,10.0
0.17240541740171794,0.1,0,10.009999999999831,0.0,10.0
0.18316156369872846,0.1,0,10.009999999999831,0.0,10.0
0.19458877175763892,0.1,0,10.009999999999831,0.0,10.0
0.2067289082355074,0.1,0,10.009999999999831,0.0,10.0
0.21962645179483306,0.1,0,10.009999999999831,0.0,10.0
0.23332865606312544,0.1,0,10.009999999999831,0.0,10.0
0.24788572275930698,0.1,0,10.009999999999831,0.0,10.0
0.26335098562124254,0.1,0,10.009999999999831,0.0,10.0
0.279781105808265,0.1,0,10.009999999999831,0.0,10.0
0.29723627949460585,0.1,0,10.009999999999831,0.0,10.0
0.3157804584143062,0.1,0,10.009999999999831,0.0,10.0
0.3354815841656335,0.1,0,10.009999999999831,0.0,10.0
0.356411837133441,0.1,0,10.009999999999831,0.0,10.0
0.3786479009414648,0.1,0,10.009999999999831,0.0,10.0
0.4022712434034503,0.1,0,10.009999999999831,0.0,10.000566204881428
0.42736841500244843,0.1,0,10.009999999999831,0.0,10.006618189272446
0.45403136599184135,0.1,0,10.01999999999983,0.0,10.012670173663466
0.48235778327988127,0.1,0,10.01999999999983,0.0,10.018722158054484
0.5124514483320121,0.1,0,10.02999999999983,0.0,10.024774142445501
0.5444226174022428,0.1,0,10.03999999999983,0.0,10.03082612683652
0.578388425486656,0.1,0,10.03999999999983,0.0,10.036878111227537
0.6144733154790399,0.1,0,10.04999999999983,0.0,10.042930095618555
0.6528094941009757,0.1,0,10.04999999999983,0.0,10.048982080009575
0.6935374162767991,0.1,0,10.05999999999983,0.0,10.055034064400592
0.7368062997280774,0.1,0,10.06999999999983,0.0,10.06108604879161
0.7827746716729558,0.1,0,10.06999999999983,0.0,10.067138033182628
0.8316109496333534,0.1,0,10.07999999999983,0.0,10.073190017573646
0.8834940584779543,0.1,0,10.07999999999983,0.0,10.079242001964666
0.9386140859616947,0.1,0,10.08999999999983,0.0,10.085293986355683
0.9971729791634937,0.1,0,10.09999999999983,0.0,10.091345970746701
1.059385284373814,0.1,0,10.09999999999983,0.0,10.097397955137719
1.1254789331428305,0.1,0,10.109999999999829,0.0,10.103449939528737
1.1956960773691057,0.1,0,10.109999999999829,0.0,10.109501923919757
1.2702939764883447,0.1,0,10.119999999999829,0.0,10.115553908310774
1.3495459400126866,0.1,0,10.129999999999828,0.0,10.121605892701792
1.4337423288737734,0.1,0,10.129999999999828,0.0,10.12765787709281
1.523191619238295,0.1,0,10.139999999999828,0.0,10.133709861483828
1.6182215326935794,0.1,0,10.139999999999828,0.0,10.139761845874846
1.7191802369439673,0.1,0,10.149999999999828,0.0,10.145813830265865
1.82643762141705,0.1,0,10.159999999999828,0.0,10.151865814656883
1.940386652453298,0.1,0,10.159999999999828,0.0,10.157917799047901
2.0614448130441736,0.1,0,10.169999999999828,0.0,10.163969783438919
2.1900556323936105,0.1,0,10.179999999999827,0.0,10.170021767829937
2.3266903109068093,0.1,0,10.179999999999827,0.0,10.176073752220955
2.4718494465599394,0.1,0,10.189999999999827,0.0,10.182125736611974
2.6260648689757677,0.1,0,10.189999999999827,0.0,10.188177721002992
2.789901587924842,0.1,0,10.199999999999827,0.0,10.19422970539401
2.963959863391089,0.1,0,10.209999999999827,0.0,10.200281689785028
3.1488774047860737,0.1,0,10.209999999999827,0.0,10.206333674176046
3.3453317073693305,0.1,0,10.219999999999827,0.0,10.212385658567065
3.554042534434872,0.1,0,10.219999999999827,0.0,10.218437642958083
3.775774554358038,0.1,0,10.229999999999826,0.0,10.2244896273491
4.011340142164213,0.1,0,10.239999999999826,0.0,10.230541611740119
4.261602355883718,0.1,0,10.239999999999826,0.0,10.236593596131137
4.52747809859755,0.1,0,10.249999999999826,0.0,10.242645580522154
4.809941477758981,0.1,0,10.249999999999826,0.0,10.248697564913174
5.110027374098796,0.1,0,10.259999999999826,0.0,10.254749549304192
5.428835233189814,0.1,0,10.269999999999825,0.0,10.26080153369521
5.767533093562112,0.1,0,10.269999999999825,0.0,10.266853518086227
6.127361866127036,0.1,0,10.279999999999825,0.0,10.272905502477245
6.509639880588831,0.1,0,10.279999999999825,0.0,10.278957486868265
6.915767715500878,0.1,0,10.289999999999825,0.0,10.285009471259283
7.34723332966277,0.1,0,10.299999999999825,0.0,10.2910614556503
7.805617513658469,0.1,1,3.1599999999999766,0.0,10.297113440041318
8.292599681508731,0.1,1,3.089999999999978,0.0,10.303165424432336
8.809964023657075,0.1,1,3.049999999999979,0.0,10.309217408823356
9.359606043832427,0.1,1,3.0199999999999796,0.0,10.315269393214374
9.943539503737975,0.1,1,3.00999999999998,0.0,10.321321377605392
10.563903801010007,0.1,1,2.99999999999998,0.0,10.32737336199641
11.222971807477869,0.1,1,2.9799999999999804,0.0,10.333425346387427
11.923158196442536,0.1,1,2.9799999999999804,0.0,10.339477330778445
12.66702828948324,0.1,1,2.9699999999999807,0.0,10.345529315169465
13.457307455204475,0.1,1,2.9699999999999807,0.0,10.351581299560483
